Date,Time,Open ,High,Low,Close,Volume,Open Interest
20251205,10:33,1524.7,1525.6,1524.7,1525,7571,0
20251205,10:34,1525,1525.3,1524.4,1524.9,4379,0
20251205,10:35,1524.9,1526.7,1524.5,1526.2,11272,0
20251205,10:36,1526.5,1527,1526.1,1526.8,10374,0
20251205,10:37,1526.8,1527.7,1526.6,1527.3,12941,0
20251205,10:38,1526.9,1527.6,1526.5,1527.1,11859,0
20251205,10:39,1527.1,1527.4,1526.5,1526.9,8554,0
20251205,10:40,1526.7,1527.9,1526.7,1527.2,9871,0
20251205,10:41,1527.3,1527.8,1527,1527,10336,0
20251205,10:42,1527,1527.2,1525.7,1525.7,11764,0
20251205,10:43,1525.8,1526.8,1525.4,1526.7,13957,0
20251205,10:44,1526.7,1527,1525.6,1526.4,20045,0
20251205,10:45,1526.1,1526.3,1525.7,1526,9373,0
20251205,10:46,1526,1527.5,1525.8,1527.4,19244,0
20251205,10:47,1527.4,1527.9,1526.8,1527,9665,0
20251205,10:48,1527,1529.8,1527,1529.8,45283,0
20251205,10:49,1529.3,1531.8,1529.3,1531.6,31045,0
20251205,10:50,1531.4,1531.6,1530.2,1531,32211,0
20251205,10:51,1531,1531.2,1530.2,1531,22584,0
20251205,10:52,1531.2,1532,1530.8,1532,17004,0
20251205,10:53,1532,1532.7,1531.2,1532.7,24237,0
20251205,10:54,1532.2,1533.9,1532.1,1533.7,25372,0
20251205,10:55,1532.8,1533.4,1531.8,1532.5,20772,0
20251205,10:56,1532.6,1533.2,1531.8,1531.8,25684,0
20251205,10:57,1531.7,1532.6,1531.4,1532.5,26319,0
20251205,10:58,1532,1532.7,1531.5,1531.5,21967,0
20251205,10:59,1531.5,1532.3,1530.6,1531.5,21358,0
20251205,11:00,1531.5,1532.7,1531.5,1531.9,14663,0
20251205,11:01,1531.8,1532.2,1531.3,1532,18993,0
20251205,11:02,1531.9,1532.2,1531.6,1532.1,8578,0
20251205,11:03,1531.9,1532.5,1531.8,1531.9,7668,0
20251205,11:04,1531.9,1532.9,1531.8,1532.9,14667,0
20251205,11:05,1532.3,1533,1532,1532.6,13730,0
20251205,11:06,1532.6,1532.8,1531.8,1532,24404,0
20251205,11:07,1531.9,1532.5,1531.3,1532,17011,0
20251205,11:08,1531.8,1532.5,1531.7,1531.8,12090,0
20251205,11:09,1532.1,1532.5,1531.4,1531.9,8821,0
20251205,11:10,1531.9,1532.5,1531.6,1532.4,15674,0
20251205,11:11,1531.7,1532.3,1531.3,1531.7,13992,0
20251205,11:12,1531.7,1532.5,1531.6,1531.8,10071,0
20251205,11:13,1532.4,1532.4,1531.5,1531.9,10870,0
20251205,11:14,1532,1532,1531.1,1531.8,9975,0
20251205,11:15,1531.2,1531.7,1530.8,1530.9,11374,0
20251205,11:16,1530.8,1531.7,1530.6,1531.2,11558,0
20251205,11:17,1531.3,1531.7,1530.9,1531.5,10305,0
20251205,11:18,1531.5,1531.9,1531,1531.6,8128,0
20251205,11:19,1531.7,1531.8,1531.1,1531.5,11099,0
20251205,11:20,1531,1531.9,1531,1531.9,9626,0
20251205,11:21,1531.9,1531.9,1531.4,1531.4,8631,0
20251205,11:22,1531.9,1532.6,1531.4,1532.6,13600,0
20251205,11:23,1532.6,1533,1532.3,1532.9,8407,0
20251205,11:24,1532.3,1532.9,1532.2,1532.8,7669,0
20251205,11:25,1532.8,1532.9,1532.2,1532.5,6976,0
20251205,11:26,1532.5,1532.7,1532,1532.6,10383,0
20251205,11:27,1532.7,1533.3,1532.1,1532.7,14093,0
20251205,11:28,1533,1533.3,1532.5,1532.6,7390,0
20251205,11:29,1533,1533.2,1532.3,1533.1,6514,0
20251205,11:30,1533,1533.2,1532,1532.1,20878,0
20251205,11:31,1532.5,1533.6,1532,1533.4,11848,0
20251205,11:32,1533.4,1534.6,1532.6,1533.2,26084,0
20251205,11:33,1533.2,1533.9,1532.7,1533.6,19459,0
20251205,11:34,1533.4,1533.4,1532.6,1533,8252,0
20251205,11:35,1533,1533.3,1532.5,1533,7406,0
20251205,11:36,1532.5,1533.4,1532.5,1533.1,9817,0
20251205,11:37,1532.7,1533.2,1532.2,1532.8,14397,0
20251205,11:38,1532.3,1533,1532.1,1532.6,7101,0
20251205,11:39,1532.6,1533.4,1532.6,1532.6,6149,0
20251205,11:40,1533.1,1533.2,1532.5,1533.1,14043,0
20251205,11:41,1533.1,1533.4,1532.5,1533,9823,0
20251205,11:42,1533,1533.7,1532.8,1532.8,8780,0
20251205,11:43,1533,1533.4,1532.6,1533.2,8055,0
